gcid	日本語名
abbey	Abbey
aboriginal_art_gallery	アボリジニ アート ギャラリー
addiction_treatment_center	依存症治療センター
adoption_agency	養子縁組あっせん業者
adult_dvd_store	アダルト DVD 販売店
aero_dance_class	エアロダンス教室
african_goods_store	アフリカ雑貨店
agricultural_production	Agricultural production
air_conditioning_store	エアコン販売店
air_conditioning_system_supplier	Air conditioning system supplier
air_taxi	エアタクシー
airbrushing_service	塗料吹付け業
airbrushing_supply_store	エアブラシ用品店
aircraft_manufacturer	Aircraft manufacturer
alcohol_manufacturer	Alcohol manufacturer
alcoholic_beverage_wholesaler	Alcoholic beverage wholesaler
angler_fish_restaurant	あんこう料理店
arborist_and_tree_surgeon	Arborist and tree surgeon
architectural_and_engineering_model_maker	Architectural and engineering model maker
architectural_designer	Architectural designer
art_dealer	アート ディーラー
art_handcraft	Art handcraft
assembly_room	Assembly room
assisted_living_facility	介護付き住宅
atm	ATM
bank	銀行
bar	バー
beach_pavillion	屋根付き施設
betting_agency	賭け代行業
biochemistry_lab	Biochemistry lab
buddhist_supplies_store	仏教徒向け用品店
cable_company	ケーブル会社
cafe	カフェ・喫茶
cajun_restaurant	ケイジャン料理店（アメリカ）
cake_decorating_equipment_shop	ケーキ デコレーション器具店
cake_shop	ケーキ屋
camp	キャンプ
campground	キャンプ場
camping_store	キャンプ用品店
canoeing_area	カヌースポット
cantabrian_restaurant	カンタブリア料理店（スペイン）
carabinieri_police	Carabinieri police
carnival_club	カーニバル クラブ
carpet_store	カーペット・じゅうたん販売店
catalonian_restaurant	カタロニア料理店（スペイン）
cattery	猫預かり所
chankonabe_restaurant	ちゃんこ料理店
chemistry_lab	Chemistry lab
childrens_theater	児童向け映画館
christian_book_store	キリスト教書店
christian_church	キリスト教教会
church_of_christ	キリスト教会
circus	サーカス
clothes_and_fabric_manufacturer	Clothes and fabric manufacturer
clothes_and_fabric_wholesaler	Clothes and fabric wholesaler
clothing_store	衣料品店
coin_operated_locker	コインロッカー
colombian_restaurant	コロンビア料理店
community_garden	コミュニティ ガーデン
computer_security_service	コンピュータ セキュリティ業
computer_software_store	コンピュータ ソフトウェア専門店
computer_support_and_services	コンピューター サポート、サービス
computer_training_school	コンピュータ教室
concrete_factory	Concrete factory
condiments_supplier	Condiments supplier
conference_center	会議場
conservative_club	Conservative club
conservatory_of_music	Conservatory of music
construction_company	建設会社
consultant	コンサルタント
container_supplier	Container supplier
container_terminal	Container terminal
contemporary_louisiana_restaurant	現代ルイジアナ料理店（アメリカ）
contractor	請負業者
convenience_store	コンビニエンスストア
convenience_stores_organization	コンビニエンス ストア関連団体
cookie_shop	クッキー店
corporate_office	企業のオフィス
costume_store	コスチューム ショップ
crab_dish_restaurant	かに料理店
creperie	クレープ店
cuban_restaurant	キューバ料理店
cured_ham_bar	塩漬けハムのバー
cured_ham_store	塩漬けハム店
custom_label_printer	カスタムラベル印刷業者
custom_t_shirt_store	カスタム T シャツ専門店
database_management_company	Database management company
dessert_buffet	スイーツおよびデザート ビュッフェ
diaper_service	おむつサービス
disposable_tableware_supplier	Disposable tableware supplier
doctor	医者
dog_day_care_center	犬の一時預かり
dojo_restaurant	どじょう料理店
ecuadorian_restaurant	エクアドル料理店
egyptian_restaurant	エジプト料理店
electronics_store	家電量販店
embossing_service	エンボス加工業
engineer	エンジニア
english_restaurant	イギリス料理店
environment_renewable_natural_resources	環境および再生可能天然資源
ethiopian_restaurant	エチオピア料理店
fabric_product_manufacturer	Fabric product manufacturer
fabrication_engineer	Fabrication engineer
fashion_accessories_store	ファッション アクセサリー店
foreclosure_service	物件差し押さえ業
fortune_telling_services	占いサービス
fruit_and_vegetable_wholesaler	Fruit and vegetable wholesaler
gambling_instructor	カジノ インストラクター
gas_station	ガソリンスタンド
graffiti_removal_service	落書き除去業
greeting_card_shop	カード ショップ
grocery_store	スーパーマーケット
gym	スポーツジム
haunted_house	お化け屋敷
home_goods_store	インテリア用品店
horse_boarding_stable	馬小屋
hospital	病院
hotel	ホテル
house_sitter	留守預かり人
house_sitter_agency	留守預かり代行業
ikan_bakar_restaurant	イカンバカル レストラン
image_consultant	イメージ コンサルタント
indian_grocery_store	インド食材店
indian_restaurant	インド料理店
infiniti_dealer	インフィニティ販売店
interior_architect_office	インテリア デザイナー オフィス
interior_designer	インテリア デザイナー
interior_fitting_contractor	インテリア設置請負業者
isuzu_dealer	いすゞ販売店
italian_grocery_store	イタリア食料品店
japanese_curry_restaurant	カレー店
jewelry_buyer	宝飾品類買い付け業者
kabaddi_club	Kabaddi club
karaoke_bar	カラオケ バー
karaoke_equipment_rental_service	Karaoke equipment rental service
karate_school	空手教室
karma_dealer	Karma dealer
kebab_shop	ケバブショップ
kennel	ケンネル
kerosene_supplier	Kerosene supplier
kilt_shop_and_hire	Kilt shop and hire
kiosk	キオスク
kitchen_supply_store	キッチン用品店
knife_manufacturing	Knife manufacturing
knitting_instructor	Knitting instructor
knitwear_manufacturer	Knitwear manufacturer
konkani_restaurant	コンカニ料理レストラン
kosher_grocery_store	コーシャー食料品店
kung_fu_school	カンフー教室
kushiyaki_restaurant	串焼き店
laboratory	Laboratory
labour_club	Labour club
lodging	宿泊所
lottery_retailer	宝くじ売り場
lottery_shop	宝くじ売り場
luggage_store	かばん店
mailbox_supplier	郵便受け製造業者
medical_lab	医療研究所
metal_fabricator	Metal fabricator
modular_home_builder	モジュラー ホーム建築業者
motorcycle_driving_school	オートバイの自動車学校
movie_theater	映画館
museum	博物館 / 美術館
night_club	ナイトクラブ
obanzai_cuisine	おばんざい料理店
oden_restaurant	おでん店
okonomiyaki_restaurant	お好み焼き店
oldsmobile_dealer	オールズモビル販売店
olive_oil_bottling_company	オリーブオイル製造販売会社
opera_company	オペラ カンパニー
opera_house	オペラ ハウス
organic_restaurant	オーガニック レストラン
organic_store	オーガニック ショップ
outdoor_clothing_and_equipment_shop	アウトドア衣料・用品店
outdoor_furniture_store	アウトドア家具店
outdoor_sports_store	アウトドア スポーツ用品店
pan_asian_restaurant	アジア多国籍料理店
parkour_spot	Parkour spot
pharmacy	調剤薬局
philharmonic_hall	コンサート ホール
plus_size_clothing_store	大きいサイズの服専門店
pork_cutlet_rice_bowl_restaurant	かつ丼屋
portable_toilet_supplier	Portable toilet supplier
prefabricated_house_companies	Prefabricated house companies
psychic	占い師
public_bathroom	公衆トイレ
public_wheelchair_accessible_bathroom	障害者用公衆トイレ
quebecois_restaurant	ケベック料理店（カナダ）
quilt_shop	キルト専門店
raft_trip_outfitter	いかだ用具レンタル業者
rafting	いかだ下り
rehabilitation_center	リハビリ センター
rest_stop	サービスエリア
restaurant	レストラン
roofing_contractor	屋根ふき業者
rv_park	オートキャンプ場
saab_dealer	サーブ販売店
sacem	Sacem
saddlery	Saddlery
safety_equipment_supplier	Safety equipment supplier
salsa_bar	サルサバー
salsa_classes	Salsa classes
salvage_dealer	Salvage dealer
samba_school	サンバ教室
sambo_school	Sambo school
sambodrome	サンボードロモ
sand_and_gravel_supplier	Sand & gravel supplier
sandblasting_service	砂吹き加工業
sandwich_shop	サンドイッチ店
satellite_communication_service	Satellite communication service
saturn_dealer	サターン販売店
sauna	サウナ
school	学校
school_for_the_deaf	ろう学校
shopping_center	ショッピング モール
shrimp_farm	エビ養殖場
singing_telegram_service	歌う電報サービス
soccer_practice	サッカー場
sokol_house	Sokol house
southern_us_restaurant	アメリカ南部料理店
state_department_for_social_development	State Department for Social Development
state_department_of_transportation	State Department of Transportation
state_dept_of_sports	State Dept of Sports
stationery_wholesaler	Stationery wholesaler
steel_construction_company	Steel construction company
steel_erector	Steel erector
steel_framework_contractor	Steel framework contractor
steelwork_design_company	Steelwork design company
stereo_rental_store	オーディオ機器レンタル サービス
stereo_repair_service	オーディオ機器修理業
stock_exchange_building	Stock exchange building
store	店舗
stove_builder	Stove builder
supermarket	スーパーマーケット
tabascan_restaurant	Tabascan restaurant
takoyaki_stand	たこ焼き屋
tanning_studio	日焼けサロン
telemarketing_service	テレマーケティング業
teppan_grill_restaurant	鉄板焼き店
tobacco_shop	たばこ店
tonkatsu_restaurant	とんかつ店
toy_library	おもちゃ図書館
toy_museum	おもちゃ博物館
toy_store	おもちゃ店
udon_noodle_shop	うどん屋
ukrainian_restaurant	ウクライナ料理店
unagi_restaurant	うなぎ料理店
urology_clinic	Urology clinic
uruguayan_restaurant	ウルグアイ料理店
used_store_fixture_supplier	Used store fixture supplier
uzbek_restaurant	ウズベキスタン料理店
vegetable_wholesaler	Vegetable wholesaler
ventilating_equipment_manufacturer	Ventilating equipment manufacturer
visa_consultant	Visa consultant
volleyball_instructor	Volleyball instructor
water_park	ウォーター パーク
water_pump_supplier	Water pump supplier
water_purification_company	Water purification company
website_designer	ウェブ デザイナー
wedding_store	ウェディング専門店
wellness_center	ウェルネス センター
wellness_program	ウェルネス プログラム
welsh_restaurant	ウェールズ料理店
wesleyan_church	ウェスレアン教会
wig_shop	かつら専門店
wind_turbine_builder	Wind turbine builder
yakitori_restaurant	焼き鳥店
yoga_instructor	Yoga instructor
youth_care	Youth care
youth_clothing_store	若者向け衣料品店